               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0855,             0.17698,            0.012832,             0.39128,             0.31624,             0.28956,             0.14401,            0.092289,             0.22774,             0.02217,           0.0097343,           0.0097343,           0.0097343
                  37,            0.085543,             0.17669,            0.012749,              0.3974,             0.31329,             0.28931,             0.14399,            0.092271,             0.22779,            0.022146,           0.0097191,           0.0097191,           0.0097191
                  38,            0.085563,             0.17677,             0.01279,             0.39793,             0.31429,             0.28951,             0.14386,            0.092221,             0.22776,            0.022125,           0.0097035,           0.0097035,           0.0097035
                  39,            0.085403,             0.17658,            0.012712,             0.39865,             0.31389,             0.28941,             0.14387,            0.092223,             0.22798,            0.022123,           0.0096875,           0.0096875,           0.0096875
                  40,            0.085386,             0.17714,             0.01273,             0.40869,              0.3094,             0.28946,             0.14396,            0.092209,               0.228,            0.022043,            0.009671,            0.009671,            0.009671
                  41,            0.085313,             0.17596,             0.01274,             0.40748,             0.30964,             0.28947,             0.14406,            0.092223,             0.22804,            0.022079,           0.0096542,           0.0096542,           0.0096542
                  42,            0.085378,             0.17607,            0.012711,             0.40475,             0.31202,             0.28984,              0.1444,             0.09223,             0.22809,            0.022128,           0.0096369,           0.0096369,           0.0096369
                  43,            0.085097,             0.17539,            0.012666,             0.40208,             0.31294,             0.28965,             0.14446,            0.092196,             0.22819,            0.022206,           0.0096193,           0.0096193,           0.0096193
                  44,            0.085277,             0.17636,            0.012659,             0.42007,             0.30393,             0.28964,             0.14437,            0.092176,             0.22819,            0.022233,           0.0096013,           0.0096013,           0.0096013
                  45,            0.085136,             0.17538,             0.01269,             0.40986,             0.30888,             0.28953,             0.14441,            0.092173,             0.22821,            0.022274,           0.0095828,           0.0095828,           0.0095828
                  46,            0.085357,             0.17652,            0.012671,             0.43149,             0.29999,             0.28987,             0.14476,            0.092141,             0.22828,            0.022254,            0.009564,            0.009564,            0.009564
                  47,            0.085177,             0.17676,            0.012642,              0.4265,              0.3027,             0.29024,             0.14483,            0.092104,             0.22828,            0.022225,           0.0095448,           0.0095448,           0.0095448
                  48,            0.085063,             0.17458,            0.012597,             0.42686,             0.30335,             0.29002,             0.14487,             0.09213,             0.22815,            0.022299,           0.0095252,           0.0095252,           0.0095252
                  49,            0.085075,              0.1755,            0.012588,             0.41514,             0.30942,             0.29014,             0.14492,            0.092144,             0.22807,            0.022364,           0.0095052,           0.0095052,           0.0095052
                  50,             0.08496,             0.17547,            0.012537,              0.4009,             0.31662,             0.29014,             0.14498,            0.092163,             0.22797,            0.022329,           0.0094849,           0.0094849,           0.0094849
                  51,            0.085101,             0.17456,            0.012539,             0.40202,             0.31676,             0.29015,             0.14517,            0.092164,             0.22804,            0.022342,           0.0094641,           0.0094641,           0.0094641
                  52,            0.085228,             0.17609,            0.012593,             0.40397,             0.31625,             0.29028,             0.14526,            0.092134,             0.22806,            0.022314,            0.009443,            0.009443,            0.009443
                  53,             0.08499,             0.17526,            0.012572,             0.40857,             0.31384,             0.29045,             0.14545,            0.092082,              0.2281,            0.022249,           0.0094215,           0.0094215,           0.0094215
                  54,            0.085142,             0.17621,            0.012595,             0.40893,             0.31392,             0.29015,             0.14532,            0.092046,             0.22817,            0.022258,           0.0093996,           0.0093996,           0.0093996
                  55,            0.084971,               0.175,            0.012499,             0.40786,             0.31451,             0.29034,              0.1454,            0.092017,             0.22818,            0.022244,           0.0093773,           0.0093773,           0.0093773
                  56,            0.085107,             0.17531,            0.012517,             0.41039,             0.31453,             0.29065,              0.1454,            0.092007,             0.22818,             0.02223,           0.0093547,           0.0093547,           0.0093547
                  57,            0.084902,             0.17445,            0.012504,             0.41483,             0.31201,              0.2906,             0.14523,            0.091991,             0.22821,            0.022202,           0.0093317,           0.0093317,           0.0093317
                  58,            0.084953,             0.17535,            0.012497,             0.41114,             0.31441,             0.29038,              0.1449,            0.091976,             0.22816,            0.022195,           0.0093083,           0.0093083,           0.0093083
                  59,            0.084881,             0.17539,            0.012504,             0.41256,             0.31361,              0.2901,             0.14464,            0.091954,             0.22816,            0.022193,           0.0092846,           0.0092846,           0.0092846
                  60,            0.084972,             0.17587,             0.01253,             0.43613,             0.30268,             0.28956,             0.14433,            0.091991,             0.22798,             0.02226,           0.0092605,           0.0092605,           0.0092605
                  61,            0.084838,             0.17542,            0.012398,             0.43251,             0.30606,             0.28984,              0.1444,            0.092034,             0.22785,             0.02236,           0.0092361,           0.0092361,           0.0092361
                  62,            0.084852,             0.17461,            0.012398,             0.43129,             0.30637,              0.2896,             0.14429,            0.092028,             0.22776,            0.022417,           0.0092113,           0.0092113,           0.0092113
                  63,            0.084708,             0.17441,            0.012399,             0.41599,             0.31405,             0.28974,             0.14429,            0.092041,             0.22761,            0.022559,           0.0091861,           0.0091861,           0.0091861
                  64,            0.084809,             0.17536,            0.012373,             0.41082,             0.31709,             0.29012,             0.14444,            0.092044,             0.22763,            0.022656,           0.0091606,           0.0091606,           0.0091606
                  65,            0.084749,             0.17517,            0.012391,             0.42265,             0.31123,             0.28987,             0.14449,             0.09207,             0.22754,            0.022739,           0.0091348,           0.0091348,           0.0091348
                  66,            0.084797,             0.17489,            0.012415,              0.4233,             0.31033,             0.28957,             0.14409,            0.092066,              0.2275,             0.02274,           0.0091086,           0.0091086,           0.0091086
                  67,            0.084742,             0.17416,             0.01243,             0.41674,             0.31288,             0.28951,             0.14386,            0.092082,             0.22751,            0.022747,           0.0090821,           0.0090821,           0.0090821
                  68,             0.08462,             0.17454,            0.012421,             0.41557,             0.31312,             0.28941,             0.14386,            0.092072,             0.22756,            0.022747,           0.0090552,           0.0090552,           0.0090552
                  69,            0.084572,             0.17426,            0.012409,             0.40804,              0.3171,             0.28945,              0.1439,            0.092048,             0.22756,            0.022777,            0.009028,            0.009028,            0.009028
                  70,            0.084457,             0.17385,            0.012393,             0.40639,             0.31817,             0.28927,             0.14408,            0.092038,             0.22763,            0.022759,           0.0090004,           0.0090004,           0.0090004
                  71,            0.084601,             0.17383,            0.012362,             0.40605,             0.31778,             0.28915,             0.14394,            0.091998,              0.2277,            0.022717,           0.0089726,           0.0089726,           0.0089726
                  72,            0.084625,               0.174,            0.012365,             0.41163,             0.31399,             0.28932,             0.14396,             0.09197,             0.22777,             0.02264,           0.0089444,           0.0089444,           0.0089444
