(-6.297545201640707, 4.693394410636919)
(-6.241555566306347, 4.738105927533466)
(-6.179041545766992, 4.746346259984429)
(-6.138469528516606, 4.928430018733319)
(-6.149172749141506, 5.042031482039533)
(-6.17013939766995, 5.164655446346972)
(-6.21548380958322, 5.242076331282589)
(-6.29679090701465, 5.484396320082276)
(-6.151419309612088, 5.689871939232392)
(-6.023827546932477, 5.773861250756041)
(-6.065506114885816, 5.879412879491759)
(-6.136094846834036, 6.090072848687655)
(-6.271436853301388, 6.408818452792097)
(-6.225989025982025, 6.442309325679223)
(-6.315932089785863, 6.557415247648538)
(-6.431309000113268, 6.9253314716473)
(-6.220357357355784, 6.995145873823034)
(-6.1489501470469365, 7.060283789501146)
(-6.142412174683184, 7.264884540585326)
(-6.12161206142122, 7.454666200891874)
(-6.102081481727885, 7.654522687661967)
(-6.24773011805063, 7.63961163561235)
(-6.386909833435366, 7.847226693271889)
(-6.3110128477595175, 8.048236885106272)
(-6.199246283163139, 8.094002121302315)
(-6.12762841461905, 8.119956116864383)
(-6.146760282397511, 8.293215026387417)
(-6.253624286613296, 8.578389360650972)
(-6.234848288919744, 8.612121174215858)
(-6.24456527611246, 8.684178177378577)
(-6.353443782587483, 8.949581558948331)
(-6.329819517692796, 9.176065403301562)
(-6.213279405514391, 9.17816098364893)
(-6.17559072907828, 9.261403996702757)
(-6.18649406181422, 9.434348095646227)
(-6.2761055671299255, 9.71884437349824)
(-6.262394427080718, 9.801356070396999)
(-6.266481817123796, 9.79969345474341)
(-6.32883573330466, 10.12236154507675)
(-6.218775978596071, 10.183728486722298)
(-6.117917647323003, 10.195527040596495)
(-6.126913608560421, 10.360408839094529)
(-6.223325764880974, 10.66790006985617)
(-6.20906498390887, 10.776245781838503)
(-6.200587261720182, 10.811318827342287)
(-6.238920737402807, 10.935395353729653)
(-6.293085787042013, 11.253832499963583)
(-6.303191852939783, 11.723066690284847)
(-6.138300848857334, 11.414594361864587)
(-6.135068220716191, 11.565915391543768)
(-6.128734108122151, 11.718800245698397)
(-6.118202772234238, 11.864101671499231)
(-6.1105758193037705, 12.018138457383296)
(-6.103638816901546, 12.176165197031127)
(-6.156567201589478, 12.337306421203197)
(-6.107549380315497, 12.330525040484087)
(-6.13115937095219, 12.550629775880024)
(-6.240473884436041, 12.889451756283819)
(-6.226971287400955, 13.00831653919148)
(-6.242128345709663, 13.203708505145391)
(-6.227933955735058, 13.216365672205049)
(-6.2810709393022375, 13.452640299360901)
(-6.224375715193894, 13.496701142021973)
(-6.159768894104705, 13.467768378107397)
(-6.149264694342424, 13.58744376244798)
(-6.2045236491054325, 13.948144288085308)
(-6.161079555048144, 13.981734097421255)
(-6.140009078681797, 14.024690001975337)
(-6.150120096643598, 14.152665897636501)
(-6.254550074730522, 14.550462017710787)
(-6.163963522736821, 14.489794573286185)
(-6.145558392856826, 14.587402219240005)
(-6.157068138724867, 14.776550051878575)
(-6.173738471348798, 15.046139360265046)
(-6.169350037840243, 15.134353635515879)
(-6.140768407134203, 15.20699343763473)
(-6.152068667674506, 15.341660257516306)
(-6.187735431703272, 15.615234004424602)
(-6.159340068050096, 15.617499966791321)
(-6.115626004612371, 15.628816183818428)
(-6.120982845339146, 15.799910239213045)
(-6.1488431289124845, 16.048981764346518)
(-6.156755012090461, 16.16462182696912)
(-6.1098442399234285, 16.155624539167967)
(-6.141951690980418, 16.35055002157682)
(-6.181750835536393, 16.637319169470583)
(-6.143799581100588, 16.72162695807028)
(-6.081880547003047, 16.725024132499968)
(-6.1421722725217025, 17.0363342515897)
(-6.190836656980275, 17.379754518095822)
(-6.139939659687999, 17.354354251752973)
(-6.127069740488746, 17.398596248733693)
(-6.154669038146841, 17.589042406906437)
(-6.183631889670884, 17.854706734568676)
(-6.1676499849138855, 17.94679246042493)
(-6.1443515641964, 18.01162144196208)
(-6.1578315307547955, 18.222116539210884)
(-6.180708325625323, 18.473660782206018)
(-6.159042220353, 18.465547536945696)
(-6.1071870817897755, 18.489335206619707)
(-6.14328347828333, 18.719738649727898)
(-6.145886576875379, 18.973897401601537)
