(-7.799161504138236, 1.6462173824667412)
(-6.043203308973295, 0.8571143930451192)
(-7.990579973816339, 1.2083014919252715)
(-8.451243139650975, 1.4776075542613247)
(-8.011692674972984, 1.5950904928663086)
(-8.25569919230593, 1.8273051168585288)
(-8.155182324171788, 1.9677419874863802)
(-7.574226082100637, 1.9570503583758794)
(-7.271379543188862, 1.9731231847732733)
(-6.925813827241738, 1.9459525731710792)
(-6.284188516503026, 1.8207393963566092)
(-5.766372863251612, 1.7162475347667456)
(-5.511008574544243, 1.6721076825211187)
(-5.125625279700211, 1.5720443708583458)
(-5.037129976295715, 1.5622438265761471)
(-4.4981948177952304, 1.3955073812996794)
(-4.465575445084873, 1.3930643268500302)
(-4.288901468211877, 1.3446869793917355)
(-4.148799268179323, 1.3006807255685118)
(-3.8162689562015544, 1.1807013189588826)
(-3.6416396543318754, 1.1186159887412972)
(-3.561026011475798, 1.0902294657479712)
(-3.6502693870617033, 1.1249092177521038)
(-3.371258950400073, 1.0140003963493052)
(-3.2671810353863093, 0.9670176555219352)
(-3.1418994599248093, 0.9099685111339719)
(-3.018315509923691, 0.8522941644715738)
(-2.8859157326428777, 0.7912397620931793)
(-2.6567858845902577, 0.6905327298380947)
(-2.69782854904245, 0.6992011719703689)
(-2.7020923837435147, 0.6930356805762066)
(-2.5335803695808754, 0.6058352202225574)
(-2.361935141826928, 0.5041209968471692)
(-2.3377463721258396, 0.47860052925797286)
(-2.2073968226249545, 0.40205830512859175)
(-2.103242023483731, 0.3373777805536848)
(-2.0000661376497284, 0.2704449246461082)
(-1.9481310930522593, 0.22274957049851885)
(-1.7079699614535184, 0.0722654601042042)
(-1.4954307233919328, -0.06363128824005904)
(-1.5755596250356367, -0.04564660399278497)
(-1.3434380667963342, -0.21141542966857108)
(-1.0630481986629525, -0.41641389429680076)
(-1.0667107420901427, -0.4465603373002136)
(-1.0739784208247323, -0.4536015513275111)
(-0.9865329800535956, -0.5436937121894028)
(-0.9024967824431398, -0.6307332030112796)
(-0.8213312866859299, -0.7124734401313233)
(-0.7133981799757776, -0.8143496181711216)
(-0.6083657651883283, -0.9166271772446857)
(-0.49525030090920197, -1.0272069825488066)
(-0.3860814557091299, -1.137154921330871)
(-0.27838945590511255, -1.2484320253439736)
(-0.16794632847939228, -1.3642936521673807)
(-0.20311110023264867, -1.45618045849073)
(-0.2621059271816679, -1.4855200007635112)
(-0.2931113400522052, -1.5036330855876923)
(-0.014935077250225692, -1.8499613800575565)
(-0.002558669078740472, -1.9127907791689278)
(-0.07419403803405622, -1.8573901362573073)
(-0.048476660700381036, -1.9176411835767944)
(0.12949300134113173, -2.1280186014636566)
(0.11281853507843387, -2.2138007726612763)
(0.047064905751930564, -2.2055117470029946)
(0.24560327771054835, -2.5422819503695053)
(0.3583986396949781, -2.7713577708811696)
(0.3234576578487873, -2.746383738272411)
(0.3437147297356824, -2.7828122828604247)
(0.3266691123110306, -2.8023466166578728)
(0.33841365891218533, -2.838030949450787)
(0.21578080052890014, -2.7931956362583192)
(0.14378740011763913, -2.7296255201599533)
(0.0662562174070489, -2.652464850299894)
(0.01911345034036538, -2.5764783309649872)
(-0.14415374538021464, -2.398817235142202)
(-0.24009945078980954, -2.375876477789636)
(-0.2609796739297239, -2.3986282348675187)
(-0.31744178213398677, -2.3034812556261004)
(-0.44003391688890603, -2.129105326918018)
(-0.6311685385725933, -1.8487461602076938)
(-0.6281664531717244, -1.8440881088719014)
(-0.6985652906710642, -1.715745589915468)
(-0.9044998533238807, -1.4085980129934934)
(-0.8759614991916227, -1.45692090958786)
(-0.8793722057048801, -1.4386307482572638)
(-0.9631971349305619, -1.2893969354943708)
(-1.0338844385603585, -1.1543423155157237)
(-1.106651872112364, -1.0083684587958084)
(-1.1327977516885164, -0.953261393098202)
(-1.2548382271937286, -0.7354209767893947)
(-1.308092958447693, -0.6103306974173045)
(-1.287087562852973, -0.6163765562570468)
(-1.270996438167508, -0.6215040497958981)
(-1.3379794636800244, -0.47465968973021255)
(-1.4739652667954826, -0.20539454233037402)
(-1.475594240172774, -0.18273532827953942)
(-1.5006605919008698, -0.11896718931367922)
(-1.6284635748140932, 0.13626424728016961)
(-1.696045359682683, 0.3144551064899457)
(-1.6542663649973428, 0.2778576126173833)
(-1.66679846247929, 0.3355543286511411)
(-1.7251272770502553, 0.48469969965854864)
(-1.8462236819782025, 0.753569894509623)
(-1.8654693321581233, 0.819872356130189)
(-1.864224906133205, 0.8208219170926148)
(-1.9856060560350666, 1.114789398794232)
(-1.9633916789892516, 1.1343249449047619)
(-1.9303928169880304, 1.1145229223655138)
(-1.981910505591495, 1.2599171338965078)
(-2.105309478614499, 1.555164922489927)
(-2.1306334692482247, 1.6457257320153342)
(-2.137104946538319, 1.6741359204390736)
(-2.1857714395779713, 1.7936241484575568)
(-2.293928886835943, 2.088313197298066)
