(-2.4629297256469727, 0.2889210879802704)
(-2.399440288543701, 0.23741281032562256)
(-2.336944341659546, 0.18572436273097992)
(-2.2821567058563232, 0.13956992328166962)
(-2.2124547958374023, 0.07948315143585205)
(-2.149191379547119, 0.023504821583628654)
(-2.0811054706573486, -0.03817351534962654)
(-2.014934539794922, -0.09943438321352005)
(-1.9523084163665771, -0.1585538685321808)
(-1.8881226778030396, -0.22026461362838745)
(-1.824051856994629, -0.28302478790283203)
(-1.7538055181503296, -0.35313281416893005)
(-1.6909128427505493, -0.4169951379299164)
(-1.6289597749710083, -0.4808347225189209)
(-1.5695425271987915, -0.5429109930992126)
(-1.5091630220413208, -0.6069573163986206)
(-1.452851414680481, -0.6676519513130188)
(-1.393669843673706, -0.7324156165122986)
(-1.3356714248657227, -0.7967759966850281)
(-1.2803722620010376, -0.8588703274726868)
(-1.2347332239151, -0.9106358885765076)
(-1.1865438222885132, -0.9657405018806458)
(-1.1377516984939575, -1.021909475326538)
(-1.0955144166946411, -1.0708543062210083)
(-1.0560168027877808, -1.116891860961914)
(-1.019297480583191, -1.1598552465438843)
(-0.9880042672157288, -1.1965084075927734)
(-0.9585182070732117, -1.2309733629226685)
(-0.9309900999069214, -1.2629836797714233)
(-0.9066303968429565, -1.2910139560699463)
(-0.8861368298530579, -1.314213514328003)
(-0.8642538189888, -1.3384060859680176)
(-0.847930908203125, -1.3558846712112427)
(-0.8319280743598938, -1.3721972703933716)
(-0.8186619877815247, -1.3845349550247192)
(-0.8089613318443298, -1.3923206329345703)
(-0.8010635375976562, -1.3971043825149536)
(-0.7956863641738892, -1.3982995748519897)
(-0.7922526597976685, -1.3957439661026)
(-0.7911359071731567, -1.3889176845550537)
(-0.7921319603919983, -1.379719853401184)
(-0.7952601313591003, -1.3662159442901611)
(-0.8008270263671875, -1.3480912446975708)
(-0.8083057999610901, -1.3268537521362305)
(-0.8179491758346558, -1.3015470504760742)
(-0.8291358947753906, -1.2736464738845825)
(-0.8406593203544617, -1.2457376718521118)
(-0.8549558520317078, -1.2117356061935425)
(-0.8690667152404785, -1.1785856485366821)
(-0.8866291046142578, -1.1376953125)
(-0.906160831451416, -1.0925037860870361)
(-0.9250736236572266, -1.0489153861999512)
(-0.9688637256622314, -0.9482859969139099)
(-0.993027925491333, -0.8928675651550293)
(-1.015233039855957, -0.8418019413948059)
(-1.038883924484253, -0.7871771454811096)
(-1.0623353719711304, -0.732737123966217)
(-1.0888015031814575, -0.6709281206130981)
(-1.1161459684371948, -0.606614351272583)
(-1.1419466733932495, -0.5454835295677185)
(-1.1684235334396362, -0.48228052258491516)
(-1.199310302734375, -0.4079766273498535)
(-1.2290250062942505, -0.33592793345451355)
(-1.2561345100402832, -0.26970207691192627)
(-1.2905223369598389, -0.1850176751613617)
(-1.3223768472671509, -0.1058906614780426)
(-1.3563272953033447, -0.020837392657995224)
(-1.391662836074829, 0.0684308335185051)
(-1.4247703552246094, 0.15274184942245483)
(-1.4576152563095093, 0.23704174160957336)
(-1.4900461435317993, 0.32092785835266113)
(-1.524239420890808, 0.41009852290153503)
(-1.56028151512146, 0.5049585103988647)
(-1.5958714485168457, 0.5995158553123474)
(-1.6339693069458008, 0.701692521572113)
(-1.6699883937835693, 0.7991978526115417)
(-1.7055104970932007, 0.8962249755859375)
(-1.7419865131378174, 0.9967749118804932)
(-1.779354453086853, 1.1007672548294067)
(-1.8168357610702515, 1.206113338470459)
(-1.8544528484344482, 1.3129432201385498)
(-1.892958164215088, 1.4234384298324585)
(-1.9283584356307983, 1.5260440111160278)
(-1.9606298208236694, 1.620436191558838)
(-1.9984575510025024, 1.732144832611084)
(-2.036276340484619, 1.844968318939209)
(-2.071647882461548, 1.9515193700790405)
(-2.112410306930542, 2.0755841732025146)
(-2.151528835296631, 2.1959662437438965)
(-2.188213348388672, 2.3100216388702393)
(-2.2262959480285645, 2.4296116828918457)
(-2.264997720718384, 2.5523955821990967)
(-2.3028199672698975, 2.6736466884613037)
(-2.342792510986328, 2.803199052810669)
(-2.3802261352539062, 2.9258861541748047)
(-2.4159739017486572, 3.044313430786133)
(-2.448603391647339, 3.1535298824310303)
(-2.481116771697998, 3.2634315490722656)
(-2.515723705291748, 3.3815855979919434)
(-2.551661968231201, 3.5055744647979736)
(-2.5859744548797607, 3.625211000442505)
(-2.622363328933716, 3.7534544467926025)
(-2.6600189208984375, 3.887669801712036)
(-2.694535493850708, 4.012080669403076)
(-2.729621171951294, 4.139932155609131)
(-2.7637641429901123, 4.265679836273193)
(-2.797640085220337, 4.3917670249938965)
(-2.8305556774139404, 4.515574932098389)
(-2.864675521850586, 4.645334243774414)
(-2.893608808517456, 4.756538391113281)
(-2.9278852939605713, 4.8897013664245605)
(-2.95632004737854, 5.001382350921631)
(-2.988692045211792, 5.129884243011475)
(-3.0214717388153076, 5.261463165283203)
(-3.0539450645446777, 5.3932647705078125)
(-3.083489179611206, 5.514421463012695)
(-3.1121668815612793, 5.633210182189941)
(-3.1439385414123535, 5.766213417053223)
(-3.1741020679473877, 5.893861293792725)
(-3.2020509243011475, 6.013372421264648)
(-3.231734037399292, 6.141659259796143)
(-3.261155366897583, 6.2702460289001465)
(-3.2890379428863525, 6.393399238586426)
(-3.321687936782837, 6.539233207702637)
(-3.350313425064087, 6.668584823608398)
(-3.3780791759490967, 6.795406341552734)
(-3.4067888259887695, 6.927961349487305)
(-3.43698787689209, 7.069003582000732)
(-3.4657130241394043, 7.204770565032959)
(-3.4924018383026123, 7.332345485687256)
(-3.5188188552856445, 7.4600043296813965)
(-3.5461137294769287, 7.593395709991455)
(-3.5719614028930664, 7.721156120300293)
(-3.594700336456299, 7.834747791290283)
(-3.6222474575042725, 7.973915100097656)
(-3.647806406021118, 8.104621887207031)
(-3.6753106117248535, 8.246992111206055)
(-3.702545642852783, 8.389714241027832)
(-3.727884531021118, 8.524042129516602)
(-3.7529397010803223, 8.658305168151855)
(-3.7772140502929688, 8.789803504943848)
(-3.801795721054077, 8.924440383911133)
(-3.82509183883667, 9.053479194641113)
(-3.848639488220215, 9.185420036315918)
(-3.8719825744628906, 9.317770004272461)
(-3.8946313858032227, 9.44766616821289)
(-3.918039560317993, 9.583559036254883)
