               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 202,            0.090982,              0.1604,            0.015474,             0.46155,             0.32466,              0.3102,             0.16502,            0.090504,             0.24092,            0.022016,           0.0039638,           0.0039638,           0.0039638
                 203,            0.091318,             0.16115,            0.015294,             0.44821,             0.33169,             0.31034,             0.16479,            0.090503,             0.24096,            0.022018,           0.0039279,           0.0039279,           0.0039279
                 204,            0.091305,             0.15978,             0.01536,              0.4492,             0.33105,             0.31032,             0.16492,            0.090501,             0.24101,            0.022021,           0.0038922,           0.0038922,           0.0038922
                 205,            0.091523,             0.16179,            0.015316,             0.44892,              0.3311,             0.31026,               0.165,            0.090501,             0.24096,            0.022022,           0.0038567,           0.0038567,           0.0038567
                 206,            0.091357,             0.16179,            0.015419,             0.44819,             0.33159,             0.31029,             0.16515,            0.090501,             0.24103,            0.022024,           0.0038214,           0.0038214,           0.0038214
                 207,            0.091213,             0.16119,            0.015214,             0.44801,             0.33168,             0.31042,             0.16497,              0.0905,             0.24109,            0.022025,           0.0037864,           0.0037864,           0.0037864
                 208,            0.091362,             0.16146,            0.015354,             0.44746,             0.33104,             0.31036,             0.16508,              0.0905,             0.24106,            0.022024,           0.0037517,           0.0037517,           0.0037517
                 209,            0.091171,             0.15908,            0.015372,             0.44684,             0.33177,             0.31047,             0.16516,            0.090499,             0.24102,            0.022026,           0.0037171,           0.0037171,           0.0037171
                 210,            0.091482,             0.16151,            0.015309,             0.44706,             0.33189,             0.31086,             0.16527,              0.0905,             0.24116,            0.022027,           0.0036829,           0.0036829,           0.0036829
                 211,            0.091289,             0.15953,             0.01531,             0.44532,             0.33245,             0.31086,             0.16514,            0.090498,              0.2411,            0.022026,           0.0036489,           0.0036489,           0.0036489
                 212,            0.091093,             0.15995,            0.015421,                0.45,             0.33008,             0.31106,              0.1652,            0.090498,              0.2412,            0.022029,           0.0036151,           0.0036151,           0.0036151
                 213,            0.091467,             0.16147,             0.01518,             0.44937,             0.33044,             0.31178,             0.16519,            0.090498,             0.24117,            0.022029,           0.0035816,           0.0035816,           0.0035816
                 214,            0.090839,             0.15936,            0.015116,             0.47275,             0.31952,              0.3117,             0.16516,            0.090496,             0.24118,            0.022029,           0.0035484,           0.0035484,           0.0035484
                 215,            0.091014,             0.16012,            0.015212,             0.43672,             0.33673,             0.31173,             0.16529,            0.090495,             0.24119,            0.022029,           0.0035154,           0.0035154,           0.0035154
                 216,            0.091231,             0.16012,            0.015246,              0.4725,             0.32022,              0.3117,             0.16536,            0.090495,             0.24119,             0.02203,           0.0034827,           0.0034827,           0.0034827
                 217,            0.091223,             0.16051,            0.015187,             0.47286,              0.3203,             0.31182,             0.16541,            0.090494,             0.24121,            0.022032,           0.0034503,           0.0034503,           0.0034503
                 218,            0.091296,             0.16026,             0.01523,             0.47317,             0.31979,             0.31162,             0.16532,            0.090494,             0.24121,            0.022034,           0.0034182,           0.0034182,           0.0034182
                 219,            0.090885,             0.15658,            0.015214,              0.4716,             0.32004,             0.31161,             0.16524,            0.090494,             0.24125,            0.022035,           0.0033863,           0.0033863,           0.0033863
                 220,            0.090675,             0.15842,            0.015036,             0.48355,             0.31497,             0.31159,             0.16513,            0.090493,             0.24129,            0.022036,           0.0033548,           0.0033548,           0.0033548
                 221,            0.091171,             0.15876,            0.015147,             0.48453,             0.31493,             0.31151,             0.16518,            0.090494,             0.24126,            0.022038,           0.0033235,           0.0033235,           0.0033235
